"URN","LA (code)","LA (name)","EstablishmentNumber","EstablishmentName","TypeOfEstablishment (name)","EstablishmentTypeGroup (name)","EstablishmentStatus (name)","ReasonEstablishmentOpened (name)","OpenDate","ReasonEstablishmentClosed (name)","CloseDate","PhaseOfEducation (name)","StatutoryLowAge","StatutoryHighAge","Boarders (name)","NurseryProvision (name)","OfficialSixthForm (name)","Gender (name)","ReligiousCharacter (name)","ReligiousEthos (name)","Diocese (name)","AdmissionsPolicy (name)","SchoolCapacity","SpecialClasses (name)","CensusDate","NumberOfPupils","NumberOfBoys","NumberOfGirls","PercentageFSM","TrustSchoolFlag (name)","Trusts (name)","SchoolSponsorFlag (name)","SchoolSponsors (name)","FederationFlag (name)","Federations (name)","UKPRN","FEHEIdentifier","FurtherEducationType (name)","OfstedLastInsp","Street","Locality","Address3","Town","County (name)","Postcode","SchoolWebsite","TelephoneNum","HeadTitle (name)","HeadFirstName","HeadLastName","HeadPreferredJobTitle","InspectorateName (name)","InspectorateReport","DateOfLastInspectionVisit","NextInspectionVisit","TeenMoth (name)","TeenMothPlaces","CCF (name)","SENPRU (name)","EBD (name)","PlacesPRU","FTProv (name)","EdByOther (name)","Section41Approved (name)","SEN1 (name)","SEN2 (name)","SEN3 (name)","SEN4 (name)","SEN5 (name)","SEN6 (name)","SEN7 (name)","SEN8 (name)","SEN9 (name)","SEN10 (name)","SEN11 (name)","SEN12 (name)","SEN13 (name)","TypeOfResourcedProvision (name)","ResourcedProvisionOnRoll","ResourcedProvisionCapacity","SenUnitOnRoll","SenUnitCapacity","GOR (name)","DistrictAdministrative (name)","AdministrativeWard (name)","ParliamentaryConstituency (name)","UrbanRural (name)","GSSLACode (name)","Easting","Northing","CensusAreaStatisticWard (name)","MSOA (name)","LSOA (name)","Inspectorate (name)","SENStat","SENNoStat","PropsName","OfstedRating (name)","RSCRegion (name)","Country (name)","UPRN","SiteName","MSOA (code)","LSOA (code)"
115986,"850","Hampshire","2246","Mengham Infant School","Community school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",5,7,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",180,"No Special Classes","18-01-2018","196","102","94","13.3","Not applicable","","Not applicable","","Not under a federation","",10075371,"","Not applicable","21-09-2016","St Mary's Road","","","Hayling Island","Hampshire","PO11 9DD","www.mengham-inf.hants.sch.uk/","02392462470","Mrs","Lindsay","Rebbitt","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Havant","Hayling West","Havant","Urban city and town","E10000014",472089,99639,"","Havant 016","Havant 016C","","","","","Good","South-East England and South London","","100062646006","","E02004777","E01022945"
115988,"850","Hampshire","2248","Orchard Junior School","Community school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",7,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",396,"No Special Classes","18-01-2018","399","218","181","5","Not applicable","","Not applicable","","Not under a federation","",10079105,"","Not applicable","17-05-2017","Water Lane","Dibden Purlieu","","Southampton","Hampshire","SO45 4SB","www.orchardjunior.com/","02380843162","Mrs","Carol","Taylor","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","New Forest","Dibden and Hythe East","New Forest East","Urban city and town","E10000014",441416,106984,"","New Forest 009","New Forest 009B","","","","","Good","South-East England and South London","","10013637054","","E02004787","E01023009"
115989,"850","Hampshire","2249","Locks Heath Infant School","Community school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",4,7,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",360,"No Special Classes","18-01-2018","333","172","161","2.7","Not applicable","","Not applicable","","Not under a federation","",10075370,"","Not applicable","11-11-2009","Warsash Road","Locks Heath","","Southampton","Hampshire","SO31 9NZ","www.locksheathinfant.com","01489584180","Mr","Rick","Jump","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Fareham","Warsash","Fareham","Urban city and town","E10000014",451271,106312,"","Fareham 005","Fareham 005E","","","","","Outstanding","South-East England and South London","","100062525552","","E02004731","E01022790"
115990,"850","Hampshire","2252","Harrison Primary School","Community school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",4,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",630,"No Special Classes","18-01-2018","627","308","319","3.8","Not applicable","","Not applicable","","Not under a federation","",10048033,"","Not applicable","04-03-2010","Harrison Road","","","Fareham","Hampshire","PO16 7EQ","www.harrisonprimaryschool.co.uk/","01329234016","Mrs","Sara","Gmitrowicz","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Fareham","Fareham East","Fareham","Urban city and town","E10000014",457788,106723,"","Fareham 008","Fareham 008B","","","","","Outstanding","South-East England and South London","","100062642842","","E02004734","E01022722"
115991,"850","Hampshire","2254","Warren Park Primary School","Foundation school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",4,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","None","Does not apply","Not applicable","Not applicable",420,"No Special Classes","18-01-2018","422","212","210","23.5","Not supported by a trust","","Not applicable","","Not under a federation","",10069662,"","Not applicable","13-11-2013","Sandleford Road","Leigh Park","","Havant","Hampshire","PO9 4LR","www.warrenpark.hants.sch.uk/","02392475502","Mrs","Elizabeth","Cooper","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Havant","Warren Park","Havant","Urban city and town","E10000014",470812,109075,"","Havant 006","Havant 006C","","","","","Outstanding","South-East England and South London","","100062457553","","E02004767","E01022966"
115992,"850","Hampshire","2255","Sun Hill Infant School","Community school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",5,7,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",180,"No Special Classes","18-01-2018","163","78","85","8.6","Not applicable","","Not applicable","","Not under a federation","",10075369,"","Not applicable","27-04-2007","Sun Lane","","","Alresford","Hampshire","SO24 9NB","http://www.sunhillinfants.co.uk/","01962732632","Mrs","Kim","Owen-Jones","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Winchester","Alresford and Itchen Valley","Winchester","Rural town and fringe","E10000014",458908,132066,"","Winchester 004","Winchester 004B","","","","","Outstanding","South-East England and South London","","100062522781","","E02004832","E01023278"
115993,"850","Hampshire","2256","Oakfield Primary School","Community school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",4,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",210,"No Special Classes","18-01-2018","207","105","102","12.6","Not applicable","","Not applicable","","Not under a federation","",10076979,"","Not applicable","06-06-2018","Sylvia Crescent","Totton","","Southampton","Hampshire","SO40 3LN","www.oakfieldpri.co.uk/","02380862530","Principal","Marcella","Dobson","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","New Forest","Totton East","New Forest East","Urban city and town","E10000014",435153,114037,"","New Forest 002","New Forest 002A","","","","","Serious Weaknesses","South-East England and South London","","100062528182","","E02004780","E01023076"
115994,"850","Hampshire","2257","Westfields Infant School","Community school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",4,7,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",270,"No Special Classes","18-01-2018","252","125","127","3.2","Not applicable","","Not applicable","","Not under a federation","",10075368,"","Not applicable","18-03-2016","School Lane","","","Yateley","Hampshire","GU46 6NN","www.westfields-inf.hants.sch.uk/","01252873603","Mrs","Janette","Teague","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Hart","Yateley West","North East Hampshire","Urban city and town","E10000014",480775,160467,"","Hart 002","Hart 002D","","","","","Good","South-East England and South London","","100062642779","","E02004752","E01022897"
115997,"850","Hampshire","2263","Fair Oak Junior School","Community school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",7,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",598,"No Special Classes","18-01-2018","554","286","268","6.5","Not applicable","","Not applicable","","Not under a federation","",10079104,"","Not applicable","01-05-2015","Botley Road","Fair Oak","","Eastleigh","Hampshire","SO50 7AN","www.fairoakjunior.co.uk","02380693195","Mr","Andrew","De Silva","Acting Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Eastleigh","Fair Oak and Horton Heath","Eastleigh","Urban city and town","E10000014",449391,118044,"","Eastleigh 008","Eastleigh 008F","","","","","Good","South-East England and South London","","10009590144","","E02004719","E01022686"
115998,"850","Hampshire","2265","North Baddesley Junior School","Community school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",7,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",282,"No Special Classes","18-01-2018","254","129","125","7.9","Not applicable","","Not applicable","","Not under a federation","",10079103,"","Not applicable","17-01-2018","Fleming Avenue","North Baddesley","","Southampton","Hampshire","SO52 9EP","http://www.northbaddesley-jun.hants.sch.uk","02380411100","Mr","Neil","Hardy","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Test Valley","North Baddesley","Romsey and Southampton North","Rural town and fringe","E10000014",439660,119688,"","Test Valley 012","Test Valley 012C","","","","","Good","South-East England and South London","","200000710648","","E02004825","E01023192"
115999,"850","Hampshire","2266","Poulner Junior School","Community school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",7,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",354,"No Special Classes","18-01-2018","313","154","159","4.8","Not applicable","","Not applicable","","Not under a federation","",10079102,"","Not applicable","11-01-2017","North Poulner Road","North Poulner","","Ringwood","Hampshire","BH24 3LA","http://www.poulnerjuniorschool.com","01425474590","Mrs","Jo","Walker","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","New Forest","Ringwood North","New Forest West","Urban city and town","E10000014",416211,106548,"","New Forest 010","New Forest 010E","","","","","Requires improvement","South-East England and South London","","100062213954","","E02004788","E01023067"
116000,"850","Hampshire","2267","Freegrounds Junior School","Community school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",7,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",360,"No Special Classes","18-01-2018","351","184","167","5.7","Not applicable","","Not applicable","","Not under a federation","",10079101,"","Not applicable","08-03-2018","Hobb Lane","Hedge End","","Southampton","Hampshire","SO30 0GG","http://www.freegrounds-jun.hants.sch.uk","01489782295","Mrs","Deborah","Johnson","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Eastleigh","Hedge End St John's","Eastleigh","Urban city and town","E10000014",449612,112763,"","Eastleigh 012","Eastleigh 012B","","","","","Good","South-East England and South London","","100062645347","","E02004723","E01022696"
116001,"850","Hampshire","2268","Merton Junior School","Community school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",7,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",360,"No Special Classes","18-01-2018","280","139","141","17.5","Not applicable","","Not applicable","","Not under a federation","",10079100,"","Not applicable","16-06-2017","Romsey Close","Popley Way","","Basingstoke","Hampshire","RG24 9HB","http://www.mertonjuniorschool.co.uk","01256326573","Mrs","Kayleigh","Reading","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Basingstoke and Deane","Popley West","Basingstoke","Urban city and town","E10000014",463237,153994,"","Basingstoke and Deane 007","Basingstoke and Deane 007F","","","","","Good","South-East England and South London","","100062462201","","E02004681","E01022543"
116002,"850","Hampshire","2269","Heatherside Infant School","Community school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",4,7,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",300,"No Special Classes","18-01-2018","320","164","156","4.4","Not applicable","","Not applicable","","Not under a federation","",10075367,"","Not applicable","28-01-2015","Reading Road South","","","Fleet","Hampshire","GU52 7TH","http://www.heathersideinfantschool.co.uk/","01252617101","Mrs","Christine","Lynch","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Hart","Fleet Central","North East Hampshire","Urban city and town","E10000014",480982,153569,"","Hart 008","Hart 008A","","","","","Outstanding","South-East England and South London","","","","E02004758","E01022864"
116003,"850","Hampshire","2270","Fleet Infant School","Community school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",4,7,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",270,"No Special Classes","18-01-2018","316","153","163","1.9","Not applicable","","Not applicable","","Not under a federation","",10075366,"","Not applicable","13-03-2009","Velmead Road","","","Fleet","Hampshire","GU52 7LQ","http://www.fleet.hants.sch.uk","01252613582","Mrs","Monique","Clark","Interim Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Hart","Crookham East","North East Hampshire","Urban city and town","E10000014",481985,153492,"","Hart 009","Hart 009C","","","","","Outstanding","South-East England and South London","","100062642484","","E02004759","E01022851"
116004,"850","Hampshire","2271","Merton Infant School","Community school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",5,7,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",270,"No Special Classes","18-01-2018","211","98","113","18","Not applicable","","Not applicable","","Not under a federation","",10075365,"","Not applicable","25-09-2018","Romsey Close","Popley Way","Popley","Basingstoke","Hampshire","RG24 9HB","http://www.mertoninfants.com","01256324507","Mrs","Larissa","James","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Basingstoke and Deane","Popley West","Basingstoke","Urban city and town","E10000014",463301,153959,"","Basingstoke and Deane 007","Basingstoke and Deane 007F","","","","","Good","South-East England and South London","","100062461917","","E02004681","E01022543"
116005,"850","Hampshire","2272","Castle Hill Primary School","Community school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",4,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",503,"No Special Classes","18-01-2018","399","207","192","6.3","Not applicable","","Not applicable","","Not under a federation","",10076978,"","Not applicable","23-05-2018","Winklebury Way","","","Basingstoke","Hampshire","RG23 8BN","www.castlehillprimary.net","01256473777","Mr","John","Martin","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Basingstoke and Deane","Winklebury","Basingstoke","Urban city and town","E10000014",461025,152475,"","Basingstoke and Deane 010","Basingstoke and Deane 010D","","","","","Good","South-East England and South London","","100062460630","","E02004684","E01022568"
116006,"850","Hampshire","2273","Bishop's Waltham Junior School","Community school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",7,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",240,"No Special Classes","18-01-2018","230","106","124","7.8","Not applicable","","Not applicable","","Not under a federation","",10079099,"","Not applicable","01-02-2017","Oak Road","Bishops Waltham","","Southampton","Hampshire","SO32 1EP","http://www.bwjunior.hants.sch.uk","01489892368","Mr","Darren","Campbell","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Winchester","Bishop's Waltham","Meon Valley","Rural town and fringe","E10000014",455835,117625,"","Winchester 012","Winchester 012D","","","","","Good","South-East England and South London","","100062525984","","E02004840","E01023223"
116007,"850","Hampshire","2274","Hiltingbury Junior School","Community school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",7,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",384,"No Special Classes","18-01-2018","385","206","179","2.1","Not applicable","","Not applicable","","Not under a federation","",10077082,"","Not applicable","18-03-2008","Hiltingbury Road","Chandler's Ford","","Eastleigh","Hampshire","SO53 5NP","www.hiltingbury-jun.hants.sch.uk","02380261808","Mr","Jon","Clark","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","SLCN - Speech, language and Communication","","","","","","","","","","","","","Resource Provision",4,4,"","","South East","Eastleigh","Hiltingbury West","Winchester","Urban city and town","E10000014",443354,122161,"","Eastleigh 001","Eastleigh 001E","","","","","Outstanding","South-East England and South London","","100062539095","","E02004712","E01022709"
116009,"850","Hampshire","2276","Crofton Hammond Infant School","Community school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",5,7,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",180,"No Special Classes","18-01-2018","181","102","79","2.2","Not applicable","","Not applicable","","Not under a federation","",10075364,"","Not applicable","09-07-2008","Mancroft Avenue","Stubbington","","Fareham","Hampshire","PO14 2DE","www.croftonhammond-inf.hants.sch.uk/","01329663733","Mrs","Jacky","Halton","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Fareham","Hill Head","Gosport","Urban city and town","E10000014",455121,102586,"","Fareham 014","Fareham 014C","","","","","Outstanding","South-East England and South London","","100062643498","","E02004740","E01022746"
116010,"850","Hampshire","2278","Heatherside Junior School","Community school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",7,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",384,"No Special Classes","18-01-2018","379","184","195","2.1","Not applicable","","Not applicable","","Not under a federation","",10079098,"","Not applicable","07-11-2013","Reading Road South","","","Fleet","Hampshire","GU52 7TH","http://www.heatherside-jun.hants.sch.uk","01252617928","Mrs","Hannah","Dunn","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Hart","Fleet Central","North East Hampshire","Urban city and town","E10000014",480982,153569,"","Hart 008","Hart 008A","","","","","Outstanding","South-East England and South London","","","","E02004758","E01022864"
116012,"850","Hampshire","2282","Sarisbury Infant School","Community school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",5,7,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",270,"No Special Classes","18-01-2018","268","125","143","6","Not applicable","","Not applicable","","Not under a federation","",10075363,"","Not applicable","08-12-2009","Barnes Lane","Sarisbury Green","","Southampton","Hampshire","SO31 7BJ","http://www.sarisburyinfants.co.uk","01489573800","Mrs","Charlotte","Weavers","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Fareham","Park Gate","Fareham","Urban city and town","E10000014",450267,107819,"","Fareham 006","Fareham 006A","","","","","Outstanding","South-East England and South London","","100062525120","","E02004732","E01022755"
116013,"850","Hampshire","2283","Bishopswood Junior School","Community school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",7,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",279,"No Special Classes","18-01-2018","230","106","124","7","Not applicable","","Not applicable","","Not under a federation","",10079097,"","Not applicable","24-05-2018","Barlows Road","","","Tadley","Hampshire","RG26 3NA","www.bishopswood-inf.hants.sch.uk/","01189812738","Mr","Glen","Golding","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Basingstoke and Deane","Tadley South","North West Hampshire","Urban city and town","E10000014",459858,161503,"","Basingstoke and Deane 001","Basingstoke and Deane 001E","","","","","Good","South-East England and South London","","10000450317","","E02004675","E01022560"
116014,"850","Hampshire","2284","Knight's Enham Junior School","Community school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",7,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",240,"No Special Classes","18-01-2018","220","103","117","25.9","Not applicable","","Not applicable","","Not under a federation","",10079096,"","Not applicable","07-07-2016","King Arthur's Way","","","Andover","Hampshire","SP10 4BS","http://www.kejs.org","01264394777","Mr","Hywel","Inglis","Acting Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Test Valley","Alamein","North West Hampshire","Urban city and town","E10000014",436416,147430,"","Test Valley 002","Test Valley 002A","","","","","Requires improvement","South-East England and South London","","200000705059","","E02004815","E01023153"
116015,"850","Hampshire","2285","Manor Field Junior School","Community school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",7,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",240,"No Special Classes","18-01-2018","186","105","81","23.1","Not applicable","","Not applicable","","Not under a federation","",10077081,"","Not applicable","18-09-2018","Haydn Road","Brighton Hill","","Basingstoke","Hampshire","RG22 4DH","www.manorfield-jun.hants.sch.uk/","01256329826","Mrs","Kirstie-Anne","Sangway","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","Not applicable","","","","","South East","Basingstoke and Deane","Brighton Hill South","Basingstoke","Urban city and town","E10000014",461993,149419,"","Basingstoke and Deane 019","Basingstoke and Deane 019D","","","","","Good","South-East England and South London","","100062460114","","E02004693","E01022479"
116016,"850","Hampshire","2286","Kempshott Junior School","Community school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",7,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",384,"No Special Classes","18-01-2018","360","185","175","4.4","Not applicable","","Not applicable","","Not under a federation","",10079095,"","Not applicable","15-02-2017","Old Down Close","Homesteads Road","Kempshott","Basingstoke","Hampshire","RG22 5LL","www.kempshott-jun.hants.sch.uk/","01256326713","Mrs","Fiona","Craig","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Basingstoke and Deane","Kempshott","Basingstoke","Urban city and town","E10000014",460305,149855,"","Basingstoke and Deane 018","Basingstoke and Deane 018E","","","","","Good","South-East England and South London","","100062460338","","E02004692","E01022519"
116017,"850","Hampshire","2287","Marnel Junior School","Community school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",7,11,"No boarders","No Nursery Classes","Not applicable","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",400,"No Special Classes","18-01-2018","393","191","202","18.8","Not applicable","","Not applicable","","Not under a federation","",10079094,"","Not applicable","07-07-2016","Shetland Road","Popley Way","","Basingstoke","Hampshire","RG24 9PT","www.marneljuniorschool.com","01256328670","Mrs","Sue","Peopall","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Basingstoke and Deane","Popley East","Basingstoke","Urban city and town","E10000014",464384,154275,"","Basingstoke and Deane 007","Basingstoke and Deane 007J","","","","","Good","South-East England and South London","","100062462270","","E02004681","E01032851"
116018,"850","Hampshire","2288","Weyford Nursery and Primary School","Community school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",2,11,"No boarders","Has Nursery Classes","Does not have a sixth form","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",630,"No Special Classes","18-01-2018","414","222","192","10.5","Not applicable","","Not applicable","","Not under a federation","",10069576,"","Not applicable","08-05-2014","Mill Chase Road","","","Bordon","Hampshire","GU35 0ET","www.weyfordprimary.co.uk","01420472119","Mrs","Julie","Smith","Interim Executive Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","East Hampshire","Whitehill Deadwater","East Hampshire","Urban city and town","E10000014",480608,135674,"","East Hampshire 006","East Hampshire 006D","","","","","Good","South-East England and South London","","","","E02004702","E01022636"
116019,"850","Hampshire","2289","Ranvilles Junior School","Community school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",7,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",267,"No Special Classes","18-01-2018","235","117","118","3.4","Not applicable","","Not applicable","","Not under a federation","",10079093,"","Not applicable","04-06-2015","Oldbury Way","","","Fareham","Hampshire","PO14 3BN","http://www.ranvillesjuniorschool.co.uk","01329841679","Mrs","Angela","Williams","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Fareham","Fareham West","Fareham","Urban city and town","E10000014",455408,105752,"","Fareham 009","Fareham 009B","","","","","Good","South-East England and South London","","100062643142","","E02004735","E01022741"
116020,"850","Hampshire","2290","Tweseldown Infant School","Community school","LA maintained schools","Open","Not applicable","","Not applicable","","Primary",4,7,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",360,"No Special Classes","18-01-2018","345","179","166","4.6","Not applicable","","Not applicable","","Not under a federation","",10075362,"","Not applicable","14-07-2009","Nepal Gardens","Church Crookham","","Fleet","Hampshire","GU52 8LL","http://www.tweseldowninfantschool.co.uk","01252628843","Mrs","Kim","Tottem","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Hart","Crookham West and Ewshot","North East Hampshire","Urban city and town","E10000014",481632,151829,"","Hart 009","Hart 009D","","","","","Outstanding","South-East England and South London","","100062324931","","E02004759","E01022853"
